author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Adiga, Aravind	The White Tiger	1974	living	translated:english	novel	contemporary-india-class-inequality?	choice-list	no	11-12	https://www.nsw.gov.au/sites/default/files/noindex/2025-04/2024-english-prescriptions-2019-2026-english-stage-6-prescriptions-modules-electives-and-texts.pdf	2024	2026-08-11	NESA choice list, Extension 1 Elective 1 (p. 29).
Aitken, Adam; Boey, Kim Cheng and Cahill, Michelle (eds)	Contemporary Asian Australian Poets	1960/1965/1969	living	domestic	poem-cycle	contemporary-multicultural-australia?	choice-list	no	11-12	https://www.nsw.gov.au/sites/default/files/noindex/2025-04/2024-english-prescriptions-2019-2026-english-stage-6-prescriptions-modules-electives-and-texts.pdf	2024	2026-08-11	NESA choice list; the listed selections constitute the prescribed text (pp. 12, 25).
Anderson, MT	Feed	1968	living	translated:english	novel	near-future-consumerism?	choice-list	no	11-12	https://www.nsw.gov.au/sites/default/files/noindex/2025-04/2024-english-prescriptions-2019-2026-english-stage-6-prescriptions-modules-electives-and-texts.pdf	2024	2026-08-11	NESA choice list, Standard Module B (p. 14).
Armstrong, Gillian	Unfolding Florence	1950	living	domestic	media	contemporary-art-biography?	choice-list	no	11-12	https://www.nsw.gov.au/sites/default/files/noindex/2025-04/2024-english-prescriptions-2019-2026-english-stage-6-prescriptions-modules-electives-and-texts.pdf	2024	2026-08-11	NESA choice list, Advanced Module B (p. 20).
Atwood, Margaret	Hag-Seed	1939	living	translated:english	novel	contemporary-prison-theatre?	choice-list	no	11-12	https://www.nsw.gov.au/sites/default/files/noindex/2025-04/2024-english-prescriptions-2019-2026-english-stage-6-prescriptions-modules-electives-and-texts.pdf	2024	2026-08-11	NESA paired choice, Advanced Module A (p. 18).
Austen, Jane	Emma	1775	1817	translated:english	novel	regency-england-class-marriage?	choice-list	no	11-12	https://www.nsw.gov.au/sites/default/files/noindex/2025-04/2024-english-prescriptions-2019-2026-english-stage-6-prescriptions-modules-electives-and-texts.pdf	2024	2026-08-11	NESA choice list, Advanced Module B (p. 19).
Baillie, Allan	The China Coin	1943	2016	domestic	novel	contemporary-china-cultural-revolution-aftermath?	choice-list	no	11-12	https://www.nsw.gov.au/sites/default/files/noindex/2025-04/2024-english-prescriptions-2019-2026-english-stage-6-prescriptions-modules-electives-and-texts.pdf	2024	2026-08-11	NESA choice list, EAL/D Module A (p. 23).
Beckett, Samuel	Waiting for Godot	1906	1989	translated:english	play	post-WWII-absurdism?	choice-list	no	11-12	https://www.nsw.gov.au/sites/default/files/noindex/2025-04/2024-english-prescriptions-2019-2026-english-stage-6-prescriptions-modules-electives-and-texts.pdf	2024	2026-08-11	NESA choice list, Extension 1 Elective 2 (p. 30).
Bovell, Andrew	The Secret River [by Kate Grenville – An adaptation for the stage by Andrew Bovell]	1962	living	domestic	play	colonial-dispossession?	choice-list	no	11-12	https://www.nsw.gov.au/sites/default/files/noindex/2025-04/2024-english-prescriptions-2019-2026-english-stage-6-prescriptions-modules-electives-and-texts.pdf	2024	2026-08-11	NESA choice list, Extension 1 Elective 1 (p. 29).
Bradbury, Ray	Fahrenheit 451	1920	2012	translated:english	novel	near-future-censorship?	choice-list	no	11-12	https://www.nsw.gov.au/sites/default/files/noindex/2025-04/2024-english-prescriptions-2019-2026-english-stage-6-prescriptions-modules-electives-and-texts.pdf	2024	2026-08-11	NESA choice list, EAL/D Module C (p. 26).
