author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Jean de La Fontaine	“Fábulas” ("Fables")	1621	1695	translated:french	short-story	none/moral-fable	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 25
Félix María Samaniego	“Fábulas” ("Fables")	1745	1801	translated:spanish	short-story	none/moral-fable	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 25; a fragment is printed on the page
Daniel Defoe	“Robinson Crusoe” ("Robinson Crusoe")	~1660	1731	translated:english	novel	colonialism-survival?	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 25
Jonathan Swift	“Los viajes de Gulliver” ("Gulliver’s Travels")	1667	1745	translated:english	novel	18th-c-imperial-satire?	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 25
Immanuel Kant	“Crítica de la Razón Pura” ("Critique of Pure Reason")	1724	1804	translated:german	essay	enlightenment-philosophy	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 25
Gustavo Adolfo Becquer	“Rimas y Leyendas” ("Rhymes and Legends")	1836	1870	translated:spanish	poem-cycle	none/romance	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y autores representativos,” p. 26
Edgar Allan Poe	“Narraciones Extraordinarias” ("Extraordinary Narratives")	1809	1849	translated:english	short-story	none/gothic	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y autores representativos,” p. 26
Johann Wolfgang von Goethe	“Fausto” ("Faust")	1749	1832	translated:german	play	early-modern-german-philosophy?	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y autores representativos,” p. 26
Stendhal	“Rojo y Negro” ("The Red and the Black")	1783	1842	translated:french	novel	bourbon-restoration-france?	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y autores representativos,” p. 26
Víctor Hugo	“Los Miserables” ("Les Misérables")	1802	1885	translated:french	novel	post-napoleonic-france?	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y autores representativos,” p. 26
Andrés Bello	“Principio del derecho de gentes” ("Principles of the Law of Nations")	1781	1865	translated:spanish	essay	post-independence-latin-america?	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 26
Honoré de Balzac	“La Comedia Humana” ("The Human Comedy")	1799	1850	translated:french	novel	restoration-july-monarchy-france?	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 27
Gustave Flaubert	“Madame Bovary” ("Madame Bovary")	1821	1880	translated:french	novel	july-monarchy-france/provincial-bourgeois-life	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 27
León Tolstoi	“La Guerra y la Paz” ("War and Peace")	1828	1910	translated:russian	novel	napoleonic-wars	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 27
Fiodor Dostoievsky	“Crimen y Castigo” ("Crime and Punishment")	1821	1881	translated:russian	novel	imperial-russia-urban-poverty?	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 27
Emile Zolá	“Les Rougon - Macquart” ("The Rougon-Macquart")	1840	1902	translated:french	novel	second-empire-france?	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 28
Ciro Alegría	“Los perros hambrientos” ("The Hungry Dogs")	1909	1967	translated:spanish	novel	20th-c-peru-rural-poverty?	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 28
Alcides Arguedas	“Raza de Bronce” ("Race of Bronze")	1879	1946	domestic	novel	indigenous-exploitation?	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 28; a fragment is printed on the page
Jesús Lara	“El repete” ("El repete")	1898	1980	domestic	novel	chaco-war/bolivian-soldier-experience	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	Title transcribed as printed in “Obras emblemáticas y Autores representativos,” p. 28
Rubén Darío	“Azul” ("Blue")	1867	1916	translated:spanish	short-story	none/modernist	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 29; mixed collection of stories and poems, coded short-story
José Martí	“Versos Sencillos” ("Simple Verses")	1853	1895	translated:spanish	poem-cycle	cuban-independence?	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 29
Horacio Quiroga	“Cuentos de Amor, Locura y Muerte” ("Stories of Love, Madness and Death")	1878	1937	translated:spanish	short-story	early-20th-c-rio-de-la-plata/misiones-frontier-life-and-death	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 29
Ricardo Jaimes Freyre	“Castalia Bárbara” ("Barbarian Castalia")	1866	1933	domestic	poem-cycle	mythic-nordic/medieval-world	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	“Obras emblemáticas y Autores representativos,” p. 29
Edgar Allan Poe	“El cuervo” ("The Raven")	1809	1849	translated:english	poem	none/gothic	anthology-only	no	4to Secundaria	https://drive.google.com/file/d/1Rs8-MixbWDOy1zrbQvkFHYXdAVyTrmAt/view?usp=sharing	2024	2026-08-11	Fragment printed and source identifies “El cuervo,” p. 25
