author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Tomás Antônio Gonzaga	Marília de Dirceu ("Marília of Dirceu")	1744	1810	domestic	poem-cycle	18th-c-arcadismo/inconfidencia-mineira?	mandatory	no	10-12	https://acervo.fuvest.br/fuvest/2024/fuvest2024_manual_candidato.pdf	2024	2026-08-10	FUVEST 2024 mandatory set text (Leitura Obrigatória)
Machado de Assis	Quincas Borba ("Quincas Borba")	1839	1908	domestic	novel	late-19th-c-rio-de-janeiro-realism?	mandatory	no	10-12	https://acervo.fuvest.br/fuvest/2024/fuvest2024_manual_candidato.pdf	2024	2026-08-10	FUVEST 2024 mandatory set text (Leitura Obrigatória)
Graciliano Ramos	Angústia ("Anguish")	1892	1953	domestic	novel	1930s-nordeste-urban-crisis?	mandatory	no	10-12	https://acervo.fuvest.br/fuvest/2024/fuvest2024_manual_candidato.pdf	2024	2026-08-10	FUVEST 2024 mandatory set text (Leitura Obrigatória)
Carlos Drummond de Andrade	Alguma Poesia ("Some Poetry")	1902	1987	domestic	poem-cycle	1920s-modernism-itabira-existentialism?	mandatory	no	10-12	https://acervo.fuvest.br/fuvest/2024/fuvest2024_manual_candidato.pdf	2024	2026-08-10	FUVEST 2024 mandatory set text (Leitura Obrigatória)
Fernando Pessoa	Mensagem ("Message")	1888	1935	translated:portuguese (doc-marked)	poem-cycle	portuguese-empire-mythology/sebastianism?	mandatory	no	10-12	https://acervo.fuvest.br/fuvest/2024/fuvest2024_manual_candidato.pdf	2024	2026-08-10	FUVEST 2024 mandatory set text; Portuguese author
Luís Bernardo Honwana	Nós matamos o cão tinhoso! ("We Killed Mangy-Dog!")	1942	living	translated:portuguese (doc-marked)	short-story	mozambican-colonialism/race-oppression?	mandatory	no	10-12	https://acervo.fuvest.br/fuvest/2024/fuvest2024_manual_candidato.pdf	2024	2026-08-10	FUVEST 2024 mandatory set text; Mozambican author
João Guimarães Rosa	Campo Geral ("Campo Geral")	1908	1967	domestic	novella	minas-gerais-sertao-childhood?	mandatory	no	10-12	https://acervo.fuvest.br/fuvest/2024/fuvest2024_manual_candidato.pdf	2024	2026-08-10	FUVEST 2024 mandatory set text (Leitura Obrigatória)
Cecília Meireles	Romanceiro da Inconfidência ("Romanceiro of the Inconfidência")	1901	1964	domestic	poem-cycle	1789-inconfidencia-mineira-rebellion?	mandatory	no	10-12	https://acervo.fuvest.br/fuvest/2024/fuvest2024_manual_candidato.pdf	2024	2026-08-10	FUVEST 2024 mandatory set text (Leitura Obrigatória)
Milton Hatoum	Dois irmãos ("Two Brothers")	1952	living	domestic	novel	mid-20th-c-manaus-lebanese-immigration?	mandatory	no	10-12	https://acervo.fuvest.br/fuvest/2024/fuvest2024_manual_candidato.pdf	2024	2026-08-10	FUVEST 2024 mandatory set text (Leitura Obrigatória)
Gregório de Matos	Poesia satírica e poesia lírico-amorosa ("Satirical and lyrical-amorous poetry")	1636	1696	domestic	poem-cycle	17th-c-colonial-bahia-satire?	choice-list	no	10-12	https://acervo.fuvest.br/fuvest/2024/fuvest2024_manual_candidato.pdf	2024	2026-08-10	Prescribed syllabus exemplar in FUVEST 2024 Programa: Português
