author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Невядомы аўтар (Unknown author)	«Жыціе Ефрасінні Полацкай» ("Life of Euphrosyne of Polotsk")	unknown	unknown	domestic	essay	12th-c-polotsk-christianity	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 14
Беларускі летапіс (Belarusian chronicle)	«Летапісец вялікіх князёў літоўскіх», «Беларуска-літоўскі летапіс (1446)» — урывак «Пахвала вялікаму князю Вітаўту» ("Chronicle of the Grand Dukes of Lithuania", "Belarusian-Lithuanian Chronicle (1446)" — excerpt "Praise to Grand Duke Vytautas")	15th c.	15th c.	domestic	essay	grand-duchy-lithuania	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 14; document's combined formula
Францыск Скарына (Francysk Skaryna)	«Прадмова да кнігі “Юдзіф”» (урывак) ("Preface to the Book of Judith" (excerpt))	~1490	~1551	domestic	essay	none/patriotism-and-civic-duty	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 14
Мікола Гусоўскі (Mikola Husouski)	«Песня пра зубра» ("Song of the Bison")	~1470	~1533	domestic	poem	grand-duchy-lithuania	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 15
Ян Баршчэўскі (Jan Barszczewski)	«Шляхціц Завальня» ("Nobleman Zavalnya")	1794	1851	domestic	short-story	19th-c-belarus/folklore-and-tradition	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 15; from named collection
Ян Баршчэўскі (Jan Barszczewski)	«Плачка» ("The Weeper")	1794	1851	domestic	short-story	legendary-belarus/folklore-and-supernatural-retribution	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 15; from named collection
Ян Баршчэўскі (Jan Barszczewski)	«Белая Сарока» ("White Magpie")	1794	1851	domestic	short-story	legendary-belarus/folklore-and-supernatural-tyranny	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 15; from named collection
Адам Міцкевіч (Adam Mickiewicz)	«Свіцязянка» ("Świtezianka")	1798	1855	translated:polish	poem	legendary-belarus/folklore-love-and-betrayal	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 15
Канстанцін Вераніцын (Kanstantsin Veranitsyn)	«Тарас на Парнасе» ("Taras on Parnassus")	1834	1904	domestic	poem	mythic-parnassus/literary-satire	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, pp. 15–16
Вінцэнт Дунін-Марцінкевіч (Vincent Dunin-Marcinkievich)	«Пінская шляхта» ("Pinsk Gentry")	1808	1884	domestic	play	1860s-tsarist-belarus/bureaucracy-and-petty-gentry	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 16
Францішак Багушэвіч (Francisak Bahusevic)	«Прадмова да зборніка “Дудка беларуская”» ("Preface to the Collection 'Belarusian Pipe'")	1840	1900	domestic	essay	belarusian-national-revival	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 16
Францішак Багушэвіч (Francisak Bahusevic)	«Мая дудка» ("My Pipe")	1840	1900	domestic	poem	belarusian-national-revival	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 16
Францішак Багушэвіч (Francisak Bahusevic)	«Хмаркі» ("Little Clouds")	1840	1900	domestic	poem	none/exile-and-personal-fate	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 16
Янка Купала (Yanka Kupala)	«А хто там ідзе?» ("And Who Goes There?")	1882	1942	domestic	poem	belarusian-national-revival	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 16
Янка Купала (Yanka Kupala)	«Мая малітва» ("My Prayer")	1882	1942	domestic	poem	belarusian-national-revival/patriotic-prayer	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 16
Янка Купала (Yanka Kupala)	«Жняя» ("The Reaper")	1882	1942	domestic	poem	none/rural-labor-and-beauty	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 16
Янка Купала (Yanka Kupala)	«Явар і каліна» ("Sycamore and Guelder-Rose")	1882	1942	domestic	poem	none/romance	mandatory	yes	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Memorization list, p. 19
Янка Купала (Yanka Kupala)	«Роднае слова» ("Native Word")	1882	1942	domestic	poem	belarusian-national-revival	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 16
Янка Купала (Yanka Kupala)	«Бандароўна» ("Bandarouna")	1882	1942	domestic	poem	18th-c-serfdom?	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 16
Якуб Колас (Yakub Kolas)	«Не бядуй!» ("Do Not Grieve!")	1882	1956	domestic	poem	none/grief-and-renewal	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 17
Якуб Колас (Yakub Kolas)	«Родныя вобразы» ("Native Images")	1882	1956	domestic	poem	none/native-landscape	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 17
Якуб Колас (Yakub Kolas)	«Першы гром» ("First Thunder")	1882	1956	domestic	poem	none/nature-and-seasonal-renewal	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 17
Якуб Колас (Yakub Kolas)	«Новая зямля» ("New Land")	1882	1956	domestic	poem	rural-peasantry	mandatory	excerpt	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Memorization list: excerpt "Леснікова пасада", p. 19
Максім Багдановіч (Maksim Bahdanovich)	«Санет» ("Sonnet")	1891	1917	domestic	poem	belarusian-national-revival	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 17
Максім Багдановіч (Maksim Bahdanovich)	«Маладыя гады» ("Young Years")	1891	1917	domestic	poem	none/youth-and-transience	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 17
Максім Багдановіч (Maksim Bahdanovich)	«Жывеш не вечна, чалавек...» ("You Do Not Live Forever, Human...")	1891	1917	domestic	poem	none/mortality-and-legacy	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 17
Максім Багдановіч (Maksim Bahdanovich)	«Плакала лета, зямлю пакідаючы...» ("Summer Wept, Leaving the Earth...")	1891	1917	domestic	poem	none/nature-transience-and-loss	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 17
Максім Гарэцкі (Maksim Haretski)	«Роднае карэнне» ("Native Roots")	1893	1938	domestic	short-story	belarusian-national-revival?	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 17
Кузьма Чорны (Kuzma Chorny)	«На пыльнай дарозе» ("On the Dusty Road")	1900	1944	domestic	short-story	interwar-soviet?	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 18
Аркадзь Куляшоў (Arkadz Kulyashou)	«Мая Бесядзь» ("My Besyad")	1914	1978	domestic	poem	none/poetic-labor-and-native-river	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 18
Аркадзь Куляшоў (Arkadz Kulyashou)	«Спакойнага шчасця не зычу нікому...» ("I Wish No One Peaceful Happiness...")	1914	1978	domestic	poem	none/active-and-demanding-life	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 18
Аркадзь Куляшоў (Arkadz Kulyashou)	«На паўмільярдным кіламетры» ("At the Half-Billionth Kilometre")	1914	1978	domestic	poem	none/memory-futurity-and-continuity	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 18
Аркадзь Куляшоў (Arkadz Kulyashou)	«Нябёсы – акіян, я знаў даўно...» ("The Heavens Are an Ocean, I Long Knew...")	1914	1978	domestic	poem	none/cosmos-and-human-knowledge	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 18
Максім Танк (Maksim Tank)	«Мой хлеб надзённы» ("My Daily Bread")	1912	1995	domestic	poem	20th-c-belarus/war-memory-and-care-for-native-land	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 18
Максім Танк (Maksim Tank)	«Завушніцы» ("Earrings")	1912	1995	domestic	poem	none/romance	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 18
Максім Танк (Maksim Tank)	«Ты яшчэ толькі намёк на чалавека...» ("You Are Still Only a Hint of a Human...")	1912	1995	domestic	poem	none/human-potential-and-moral-growth	mandatory	yes	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Memorization list, p. 19
Максім Танк (Maksim Tank)	«Не знаю...» ("I Do Not Know...")	1912	1995	domestic	poem	none/romance	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 18
Іван Шамякін (Ivan Shamyakin)	«Непаўторная вясна» ("Inimitable Spring")	1921	2004	domestic	novella	pre-WWII-belarus	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 18; first book of «Трывожнае шчасце»
Янка Брыль (Yanka Bryl)	«Memento mori» ("Remember That You Must Die")	1917	2017	domestic	short-story	WWII-occupation	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 19
Уладзімір Караткевіч (Uladzimir Karatkevich)	«Дзікае паляванне караля Стаха» ("King Stakh's Wild Hunt")	1930	1984	domestic	novella	1880s-tsarist-belarus	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 19
Яўгенія Янішчыц (Yauheniya Yanishchyts)	«Ты пакліч мяне. Пазаві...» ("Call Me. Summon Me...")	1948	1988	domestic	poem	none/love-and-native-belonging	mandatory	yes	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Memorization list, p. 19
Яўгенія Янішчыц (Yauheniya Yanishchyts)	«Чаму ніколі не баюся я...» ("Why I Am Never Afraid...")	1948	1988	domestic	poem	none/moral-courage-and-human-relations	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 19
Яўгенія Янішчыц (Yauheniya Yanishchyts)	«Не воблака, а проста аблачынка...» ("Not a Cloud, Only a Little Cloud...")	1948	1988	domestic	poem	none/nature-land-and-mortality	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 19
Яўгенія Янішчыц (Yauheniya Yanishchyts)	«Любоў мая...» ("My Love...")	1948	1988	domestic	poem	none/romance	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Belarusian Literature, p. 19
Неизвестный автор (Unknown author)	«Слово о полку Игореве» ("The Tale of Igor's Campaign")	~1185	~1185	translated:russian	epic	12th-c-rus-principalities	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Russian Literature, p. 29
М. В. Ломоносов (Mikhail Lomonosov)	«Ода на день восшествия на Всероссийский престол Ея Величества Государыни императрицы Елисаветы Петровны 1747 года», «Разговор с Анакреоном» (одно произведение по выбору учителя) ("Ode on the Day of the Accession… 1747", "Conversation with Anacreon" (one work chosen by teacher))	1711	1765	translated:russian	poem-cycle	1747-imperial-russia/none-poetry-and-mortality	choice-list	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Russian Literature, p. 29; document's choice formula
Г. Р. Державин (Gavriil Derzhavin)	«Властителям и судиям», «Памятник», «Ласточка», «Снигирь» (одно произведение по выбору учителя) ("To Rulers and Judges", "Monument", "Swallow", "Bullfinch" (one work chosen by teacher))	1743	1816	translated:russian	poem-cycle	18th-c-imperial-russia/governance-and-suvorov/none-poetry-and-mortality	choice-list	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Russian Literature, p. 30; document's choice formula
Д. И. Фонвизин (Denis Fonvizin)	«Недоросль» ("The Minor")	1745	1792	translated:russian	play	serfdom	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Russian Literature, p. 30
Н. М. Карамзин (Nikolay Karamzin)	«Бедная Лиза» ("Poor Liza")	1766	1826	translated:russian	novella	late-18th-c-russia/class-and-tragic-love	mandatory	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Russian Literature, p. 30
В. А. Жуковский (Vasily Zhukovsky)	«Вечер», «Море», «Сельское кладбище», «Светлана» (два произведения по выбору учителя) ("Evening", "The Sea", "A Country Churchyard", "Svetlana" (two works chosen by teacher))	1783	1852	translated:russian	poem-cycle	none/nature-mortality-and-folkloric-romance	choice-list	no	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Russian Literature, p. 31; document's choice formula
А. С. Грибоедов (Alexander Griboyedov)	«Горе от ума» ("Woe from Wit")	1795	1829	translated:russian	play	decembrist-era	mandatory	excerpt	9	https://edumedia-depot.gei.de/server/api/core/bitstreams/28458cdf-75c5-49e4-9da0-0acae10f7883/content	2019	2026-08-11	Memorization: monologue of Famusov or Chatsky, p. 35
