author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
佚名 (Anonymous)	"《关雎》（《诗经》） (""Guan Ju"" - Classic of Poetry)"	~1000 BCE	~600 BCE	domestic	poem	zhou-dynasty-courtship?	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 1 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
佚名 (Anonymous)	"《蒹葭》（《诗经》） (""Jian Jia"" - Classic of Poetry)"	~1000 BCE	~600 BCE	domestic	poem	zhou-dynasty-courtship?	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 2 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
佚名 (Anonymous)	"《十五从军征》（汉乐府） (""Fifteen Conscripted for War"" - Han Folk Song)"	~202 BCE	~220	domestic	poem	han-conscription-war?	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 3 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
曹操 (Cao Cao)	"《观沧海》 (""Viewing the Blue Sea"")"	155	220	domestic	poem	late-han-warlord-campaign	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 4 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
陶潜 (Tao Qian)	"《饮酒》（结庐在人境） (""Drinking Wine"")"	365	427	domestic	poem	six-dynasties-hermitage	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 5 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
佚名 (Anonymous)	"《木兰辞》（北朝民歌） (""Ballad of Mulan"" - Northern Dynasties Folk Song)"	~386	~534	domestic	poem	northern-wei-war?	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 6 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
王勃 (Wang Bo)	"《送杜少府之任蜀州》 (""Seeing Off Vice-Magistrate Du to Shuzhou"")"	650	676	domestic	poem	tang-dynasty-farewell	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 7 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
陈子昂 (Chen Zi'ang)	"《登幽州台歌》 (""Song of Ascending Youzhou Tower"")"	661	702	domestic	poem	tang-dynasty-existential	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 8 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
王湾 (Wang Wan)	"《次北固山下》 (""Mooring Under Beigu Mountain"")"	693	751	domestic	poem	tang-dynasty-travel	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 9 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
王维 (Wang Wei)	"《使至塞上》 (""Mission to the Frontier"")"	701	761	domestic	poem	tang-frontier-war?	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 10 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
李白 (Li Bai)	"《闻王昌龄左迁龙标遥有此寄》 (""On Hearing of Wang Changling's Demotion"")"	701	762	domestic	poem	tang-banishment	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 11 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
李白 (Li Bai)	"《行路难》（金樽清酒斗十千） (""Hard Roads in Liang"")"	701	762	domestic	poem	tang-dynasty-frustration	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 12 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
崔颢 (Cui Hao)	"《黄鹤楼》 (""Yellow Crane Tower"")"	704	754	domestic	poem	tang-dynasty-nostalgia	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 13 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
杜甫 (Du Fu)	"《望岳》 (""Gazing on Mount Tai"")"	712	770	domestic	poem	tang-high-era	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 14 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
杜甫 (Du Fu)	"《春望》 (""Spring View"")"	712	770	domestic	poem	an-lushan-rebellion	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 15 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
杜甫 (Du Fu)	"《茅屋为秋风所破歌》 (""My Cottage Unroofed by Autumn Gales"")"	712	770	domestic	poem	an-lushan-rebellion-displacement	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 16 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
岑参 (Cen Shen)	"《白雪歌送武判官归京》 (""Song of White Snow in Farewell to Field Officer Wu"")"	715	770	domestic	poem	tang-frontier-war?	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 17 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
刘禹锡 (Liu Yuxi)	"《酬乐天扬州初逢席上见赠》 (""In Reply to Bai Juyi's Poem Given at Yangzhou Banquet"")"	772	842	domestic	poem	tang-political-banishment	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 18 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
白居易 (Bai Juyi)	"《卖炭翁》 (""The Old Charcoal Seller"")"	772	846	domestic	poem	tang-palace-market-oppression	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 19 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
白居易 (Bai Juyi)	"《钱塘湖春行》 (""Spring Walk by Qiantang Lake"")"	772	846	domestic	poem	tang-dynasty-landscape	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 20 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
李贺 (Li He)	"《雁门太守行》 (""Song of the Governor of Yanmen"")"	790	816	domestic	poem	tang-frontier-siege	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 21 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
杜牧 (Du Mu)	"《赤壁》 (""Red Cliff"")"	803	852	domestic	poem	three-kingdoms-battle-memory	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 22 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
杜牧 (Du Mu)	"《泊秦淮》 (""Mooring on Qinhuai River"")"	803	852	domestic	poem	late-tang-dynastic-decline	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 23 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
李商隐 (Li Shangyin)	"《夜雨寄北》 (""Written on a Rainy Night to the North"")"	813	858	domestic	poem	tang-dynasty-longing	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 24 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
李商隐 (Li Shangyin)	"《无题》（相见时难别亦难） (""Untitled - Hard to Meet and Hard to Part"")"	813	858	domestic	poem	tang-dynasty-romance?	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 25 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
李煜 (Li Yu)	"《相见欢》（无言独上西楼） (""Joy at Meeting - Silent and Alone"")"	937	978	domestic	poem	southern-tang-fall	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 26 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
范仲淹 (Fan Zhongyan)	"《渔家傲》（塞下秋来风景异） (""Pride of Fishermen - Autumn at the Frontier"")"	989	1052	domestic	poem	song-western-xia-frontier-war	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 27 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
晏殊 (Yan Shu)	"《浣溪沙》（一曲新词酒一杯） (""Sand of Silk-Washing Stream"")"	991	1055	domestic	poem	none/transience	choice-list	no	7-9	https://www.moe.gov.cn/srcsite/A26/s8001/202204/W020220420582344386456.pdf	2022	2026-08-10	Appendix 1 item 28 (MOE 2022 Curriculum Standard: Grade 7-9 recitation recommendation; specific pieces left to editors and teachers)
