author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Paul Watzlawick	Axiome ("Axioms of Communication")	1921	2007	domestic	essay	none/interpersonal-communication-theory	choice-list	no	10	https://www.lehrplanplus.bayern.de/fachlehrplan/realschule/10/deutsch	2024	2026-08-10	Explicitly named exemplar in D10 1.1: "Axiome von Watzlawick"
Friedemann Schulz von Thun	Nachrichtenquadrat ("Four-sides model of communication")	1944	living	domestic	essay	none/interpersonal-communication-theory	choice-list	no	10	https://www.lehrplanplus.bayern.de/fachlehrplan/realschule/10/deutsch	2024	2026-08-10	Explicitly named exemplar in D10 1.1: "Nachrichtenquadrat von Schulz von Thun"
Autoren des 20. und 21. Jahrhunderts (u. a. Literaturnobelpreisträger) ("20th and 21st century authors, incl. Nobel laureates")	Ein Text eines Literaturnobelpreisträgers und eine Ganzschrift des 20./21. Jahrhunderts (per Wahl) ("A text by a Nobel laureate and a full-length work of the 20th/21st c. (by choice)")	~1900	living	choice:domestic/translated (doc-marked)	novel	various/unspecified	choice-list	no	10	https://www.lehrplanplus.bayern.de/fachlehrplan/realschule/10/deutsch	2024	2026-08-10	Prescribed open formula in D10 2.2 for 20th/21st-century literature and Nobel laureates
Dichter des Expressionismus ("Expressionist poets")	Expressionistische Lyrik (an ausgewählten Themenschwerpunkten, z. B. Ängste) (per Wahl) ("Expressionist poetry (on selected themes, e.g. anxieties) (by choice)")	~1885	~1945	domestic	poem-cycle	various/unspecified	choice-list	no	10	https://www.lehrplanplus.bayern.de/fachlehrplan/realschule/10/deutsch	2024	2026-08-10	Prescribed open formula in D10 2.2: "typische Merkmale expressionistischer Lyrik"
Politische Dichter und Liedermacher ("Political poets and songwriters")	Politische Lyrik und Liedtexte im historischen Kontext (per Wahl) ("Political poetry and song lyrics in historical context (by choice)")	~1900	living	domestic	poem-cycle	various/unspecified	choice-list	no	10	https://www.lehrplanplus.bayern.de/fachlehrplan/realschule/10/deutsch	2024	2026-08-10	Prescribed open formula in D10 2.2: "Mittel und Ziele politischer Lyrik (auch Liedtexte) im historischen Kontext"
Autoren der Jugend-, europäischen und interkulturellen Literatur ("Authors of youth, European, and intercultural literature")	Werke der Jugendliteratur, europäischer Schriftsteller/-innen und interkultureller Literatur (in Auszügen, per Wahl) ("Works of youth literature, European writers, and intercultural literature (in excerpts, by choice)")	~1950	living	choice:domestic/translated (doc-marked)	novel	various/unspecified	choice-list	no	10	https://www.lehrplanplus.bayern.de/fachlehrplan/realschule/10/deutsch	2024	2026-08-10	Prescribed open formula in D10 2.2: "Werke (z. B. Jugendliteratur, Werke europäischer Schriftsteller/-innen, interkultureller Literatur)"
Autoren und Philosophen der Aufklärung ("Authors and philosophers of the Enlightenment")	Literarische und philosophische Texte des Zeitalters der Aufklärung (per Wahl) ("Literary and philosophical texts of the Enlightenment (by choice)")	~1694	~1784	choice:domestic/translated (doc-marked)	essay	enlightenment?	choice-list	no	10	https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/10/deutsch	2024	2026-08-10	Prescribed open formula in Gymnasium D10 2.2 & Lernbereich 5: "literarische und philosophische Texte des Zeitalters der Aufklärung"
Epische Autoren der Klassik und Moderne ("Epic authors of Classicism and Modernism")	Epische Texte / Novellen (per Wahl) ("Epic texts / novellas (by choice)")	~1750	~1950	domestic	novella	various/unspecified	choice-list	no	10	https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/10/deutsch	2024	2026-08-10	Prescribed open formula in Gymnasium D10 2.2: "epischen Texten (z. B. Novellen)"
Dramatische Autoren ("Dramatic authors")	Ein Drama (auch als Theaterinszenierung, per Wahl) ("A play / drama (also as theater staging, by choice)")	~1750	~1950	domestic	play	various/unspecified	choice-list	no	10	https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/10/deutsch	2024	2026-08-10	Prescribed open formula in Gymnasium D10 2.2: "rezipieren ein Drama, auch als Theaterinszenierung"
Dichter traditionaler und moderner Versformen ("Poets of traditional and modern verse forms")	Lyrische Texte (z. B. Sonette) (per Wahl) ("Lyrical texts (e.g. sonnets) (by choice)")	~1600	living	domestic	poem-cycle	various/unspecified	choice-list	no	10	https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/10/deutsch	2024	2026-08-10	Prescribed open formula in Gymnasium D10 2.2: "lyrischen Texten v. a. traditionelle und moderne Gestaltungsmittel... (z. B. beim Sonett)"
