author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Gregorio López y Fuentes	A Letter to God	1895	1966	translated:spanish	short-story	20th-c-mexican-peasantry/faith?	mandatory	no	10	https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/English_LL_2024-25.pdf	2024	2026-08-10	First Flight Prose Ch 1; Mexican story translated from Spanish (Una carta a Dios)
Nelson Mandela	Nelson Mandela: Long Walk to Freedom	1918	2013	translated:english	essay	apartheid-south-africa	mandatory	no	10	https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/English_LL_2024-25.pdf	2024	2026-08-10	First Flight Prose Ch 2; excerpt from autobiography
Liam O'Flaherty	Two Stories about Flying: I. His First Flight	1896	1984	translated:english	short-story	none/nature?	mandatory	no	10	https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/English_LL_2024-25.pdf	2024	2026-08-10	First Flight Prose Ch 3 Part I; Irish author
Frederick Forsyth	Two Stories about Flying: II. Black Aeroplane	1938	living	translated:english	short-story	none/aviation-mystery	mandatory	no	10	https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/English_LL_2024-25.pdf	2024	2026-08-10	First Flight Prose Ch 3 Part II; British author
Anne Frank	From the Diary of Anne Frank	1929	1945	translated:dutch	essay	WWII-holocaust/nazi-occupation	mandatory	no	10	https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/English_LL_2024-25.pdf	2024	2026-08-10	First Flight Prose Ch 4; excerpt from Het Achterhuis translated from Dutch
Lucio Rodrigues	Glimpses of India: I. A Baker from Goa	1916	1973	domestic	essay	portuguese-goa-heritage?	mandatory	no	10	https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/English_LL_2024-25.pdf	2024	2026-08-10	First Flight Prose Ch 5 Part I; Indian Goan author
Lokesh Abrol	Glimpses of India: II. Coorg	~1950	living	domestic	essay	coorg-martial-heritage?	mandatory	no	10	https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/English_LL_2024-25.pdf	2024	2026-08-10	First Flight Prose Ch 5 Part II; Indian author
Arup Kumar Dutta	Glimpses of India: III. Tea from Assam	1946	living	domestic	short-story	assam-tea-culture?	mandatory	no	10	https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/English_LL_2024-25.pdf	2024	2026-08-10	First Flight Prose Ch 5 Part III; Assamese Indian author
Gavin Maxwell	Mijbil the Otter	1914	1969	translated:english	short-story	1956-iraq-to-london/pet-natural-history	mandatory	no	10	https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/English_LL_2024-25.pdf	2024	2026-08-10	First Flight Prose Ch 6; Scottish author, excerpt from Ring of Bright Water
Vallikkannan (R. S. Krishnasamy)	Madam Rides the Bus	1920	2006	domestic	short-story	modern-tamil-nadu-rural-life?	mandatory	no	10	https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/English_LL_2024-25.pdf	2024	2026-08-10	First Flight Prose Ch 7; translated from Tamil (Bussil Oru Payanam) by K. S. Sundaram
