author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Omero (Homer)	Poemi omerici ("Homeric epics")	~-800	~-750	translated:greek (doc-marked)	epic	antiquity-trojan-war?	mandatory	no	9-10	https://it.wikisource.org/wiki/D.M._7_ottobre_2010,_n._211/Liceo_Classico	2010	2026-08-10	Prescribed classical epic in translation for Primo Biennio (p. 204)
Vari autori attici (Various Attic authors)	La tragedia attica del V secolo ("Attic tragedy of the 5th century BC")	~-500	~-400	translated:greek (doc-marked)	play	antiquity-greece?	mandatory	no	9-10	https://it.wikisource.org/wiki/D.M._7_ottobre_2010,_n._211/Liceo_Classico	2010	2026-08-10	Prescribed classical drama in translation for Primo Biennio (p. 204)
Virgilio (Virgil)	L'Eneide ("Aeneid")	-70	-19	translated:latin (doc-marked)	epic	antiquity-rome-foundation?	mandatory	no	9-10	https://it.wikisource.org/wiki/D.M._7_ottobre_2010,_n._211/Liceo_Classico	2010	2026-08-10	Prescribed Latin epic in translation for Primo Biennio (p. 204)
Primari autori greci e latini (Primary Greek and Latin authors)	Testi di primari autori greci e latini (per scelta) ("Texts by primary Greek and Latin authors (by choice)")	~-100	~100	translated:greek/latin (doc-marked)	epic	antiquity?	choice-list	no	9-10	https://it.wikisource.org/wiki/D.M._7_ottobre_2010,_n._211/Liceo_Classico	2010	2026-08-10	Prescribed open formula for classical texts in translation (p. 204)
Autori vari (Various authors)	La Bibbia ("The Bible")	~-1000	~100	translated:hebrew/greek (doc-marked)	epic	antiquity-biblical?	mandatory	no	9-10	https://it.wikisource.org/wiki/D.M._7_ottobre_2010,_n._211/Liceo_Classico	2010	2026-08-10	Prescribed foundational biblical text in translation for Primo Biennio (p. 204)
Autori di epoca moderna (Modern authors, domestic and foreign)	Letture da autori di epoca moderna anche stranieri (per scelta) ("Readings from modern authors including foreign (by choice)")	~1900	living	choice:domestic/translated (doc-marked)	novel	modernity?	choice-list	no	9-10	https://it.wikisource.org/wiki/D.M._7_ottobre_2010,_n._211/Liceo_Classico	2010	2026-08-10	Open formula in text: "accanto ad altre letture da autori di epoca moderna anche stranieri" (p. 204)
Alessandro Manzoni	I Promessi Sposi ("The Betrothed")	1785	1873	domestic	novel	17th-c-lombardy-plague-spanish-rule	mandatory	no	9-10	https://it.wikisource.org/wiki/D.M._7_ottobre_2010,_n._211/Liceo_Classico	2010	2026-08-10	Sole named individual Italian novel mandated in Primo Biennio (p. 204)
Autori vari (Various authors)	La poesia religiosa ("Religious poetry")	~1200	~1300	domestic	poem-cycle	medieval-christianity?	mandatory	no	9-10	https://it.wikisource.org/wiki/D.M._7_ottobre_2010,_n._211/Liceo_Classico	2010	2026-08-10	End of Biennio 1 mandatory module: "la poesia religiosa" (p. 205)
Poeti della Scuola Siciliana (Sicilian School poets)	I Siciliani ("The Sicilians")	~1190	~1260	domestic	poem-cycle	13th-c-courtly-love?	mandatory	no	9-10	https://it.wikisource.org/wiki/D.M._7_ottobre_2010,_n._211/Liceo_Classico	2010	2026-08-10	End of Biennio 1 mandatory module: "i Siciliani" (p. 205)
Poeti toscani prestilnovistici (Pre-Stilnovo Tuscan poets)	La poesia toscana prestilnovistica ("Pre-Stilnovo Tuscan poetry")	~1230	~1290	domestic	poem-cycle	13th-c-tuscan-communes?	mandatory	no	9-10	https://it.wikisource.org/wiki/D.M._7_ottobre_2010,_n._211/Liceo_Classico	2010	2026-08-10	End of Biennio 1 mandatory module: "la poesia toscana prestilnovistica" (p. 205)
