author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
井上ひさし	「握手」 ("Handshake")	1934	2010	domestic	short-story	post-WWII-reconstruction	mandatory	no	9	https://www.mitsumura-tosho.co.jp/kyokasho/c_kokugo/shiryou/nennkan	2021	2026-08-11	Mitsumura Tosho Grade 3 (unit 1 compulsory story); Sanseido Grade 3
魯迅 (Lu Xun)	「故郷」 ("My Old Home")	1881	1936	translated:chinese (doc-marked)	short-story	1920s-china-rural-poverty?	mandatory	no	9	https://www.mitsumura-tosho.co.jp/kyokasho/c_kokugo/shiryou/nennkan	2021	2026-08-11	MEXT Grade 3 universal classic (translated by Takeuchi Yoshimi); present in all major MEXT Grade 3 textbooks since 1953
松尾芭蕉	『おくのほそ道』「夏草」 ("Summer Grasses" from The Narrow Road to the Deep North)	1644	1694	domestic	essay	edo-period-journey/late-Heian-war-memory	mandatory	no	9	https://www.mext.go.jp/component/a_menu/education/micro_detail/__icsFiles/afieldfile/2019/03/18/1387018_002.pdf	2017	2026-08-11	MEXT Grade 3 classical mandate; no work-specific memorization mandate in the defining document
孔子 (Confucius)	「論語」から ("Selections from the Analects")	~551 BCE	~479 BCE	translated:chinese (doc-marked)	essay	spring-and-autumn-period	mandatory	no	9	https://www.mext.go.jp/component/a_menu/education/micro_detail/__icsFiles/afieldfile/2019/03/18/1387018_002.pdf	2017	2026-08-11	MEXT Grade 3 classical Kanbun mandate; no work-specific memorization mandate in the defining document
紀貫之 ほか (Ki no Tsurayuki et al. / Anonymous)	「和歌の心」（『万葉集』『古今和歌集』『新古今和歌集』から） ("Heart of Waka: Selections from Man'yoshu, Kokin Wakashu, and Shin Kokin Wakashu")	~870	~945	domestic	poem-cycle	nara-heian-kamakura-periods	mandatory	no	9	https://www.mext.go.jp/component/a_menu/education/micro_detail/__icsFiles/afieldfile/2019/03/18/1387018_002.pdf	2017	2026-08-11	MEXT Grade 3 Waka poetry anthology mandate; no work-specific memorization mandate in the defining document
山極寿一	「作られた『物語』を超えて」 ("Beyond Fabricated 'Narratives'")	1952	living	domestic	essay	19th-century-colonial-africa/wildlife-exploitation	mandatory	no	9	https://www.mitsumura-tosho.co.jp/kyokasho/c_kokugo/shiryou/nennkan	2021	2026-08-11	Mitsumura Tosho Grade 3 compulsory explanatory prose
長田弘	「世界はうつくしいと」 ("When the World is Beautiful")	1939	2015	domestic	poem	contemporary-nature-existential?	mandatory	no	9	https://www.mitsumura-tosho.co.jp/kyokasho/c_kokugo/shiryou/nennkan	2021	2026-08-11	Mitsumura Tosho Grade 3 opening poem
中静透	「絶滅の意味」 ("The Meaning of Extinction")	1956	living	domestic	essay	contemporary-biodiversity-crisis?	choice-list	no	9	https://ten.tokyo-shoseki.co.jp/text/chu/kokugo/dl_shiryo/	2021	2026-08-11	Tokyo Shoseki Grade 3 compulsory science essay
小川洋子	「百科事典少女」 ("Encyclopedia Girl")	1962	living	domestic	short-story	none/contemporary-grief-and-memory	choice-list	no	9	https://ten.tokyo-shoseki.co.jp/text/chu/kokugo/dl_shiryo/	2021	2026-08-11	Tokyo Shoseki Grade 3 fiction selection
島崎藤村	「初恋」 ("First Love")	1872	1943	domestic	poem	meiji-romanticism?	choice-list	no	9	https://ten.tokyo-shoseki.co.jp/text/chu/kokugo/dl_shiryo/	2021	2026-08-11	Tokyo Shoseki Grade 3 lyric poetry selection; no work-specific memorization mandate in the defining document
高村光太郎	「レモン哀歌」 ("Lemon Elegy")	1883	1956	domestic	poem	showa-prewar-mourning?	choice-list	no	9	https://ten.tokyo-shoseki.co.jp/text/chu/kokugo/dl_shiryo/	2021	2026-08-11	Tokyo Shoseki Grade 3 modern poem selection
栗原貞子	「生ましめんかな」 ("Bring Forth New Life")	1913	2005	domestic	poem	WWII-atomic-bomb-hiroshima	choice-list	no	9	https://ten.tokyo-shoseki.co.jp/text/chu/kokugo/dl_shiryo/	2021	2026-08-11	Tokyo Shoseki Grade 3 atomic bomb survivor (Hibakusha) poetry selection
菊池寛	「形」 ("Form")	1888	1948	domestic	short-story	sengoku-period-samurai?	choice-list	no	9	https://ten.tokyo-shoseki.co.jp/text/chu/kokugo/dl_shiryo/	2021	2026-08-11	Tokyo Shoseki Grade 3 historical short fiction
中島岳志	「受け取る『利他』」 ("Receiving 'Altruism'")	1975	living	domestic	essay	contemporary-ethics-philosophy?	choice-list	no	9	https://ten.tokyo-shoseki.co.jp/text/chu/kokugo/dl_shiryo/	2021	2026-08-11	Tokyo Shoseki Grade 3 philosophical essay
今野俊宏	「いつものように新聞が届いた―メディアと東日本大震災」 ("As Usual, the Newspaper Arrived: Media and the Great East Japan Earthquake")	1964	living	domestic	essay	post-2011-earthquake-disaster	choice-list	no	9	https://ten.tokyo-shoseki.co.jp/text/chu/kokugo/dl_shiryo/	2021	2026-08-11	Tokyo Shoseki Grade 3 media & 3/11 disaster essay
