author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Ж. Баласағұн (Jusip Balasagun)	"Құтты білік" (Kutadgu Bilig)	1015	1069	domestic	epic	middle-ages	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 1st Q
Майқы би мен Мөңке би (Maiky Bi and Monke Bi)	Шешендік сөздер (Oratorical Words)	1200	1373	domestic	essay	none/didactic-oratory	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 1st Q
Анет баба (Anet Baba)	"Не арсыз? Не ғайып? Не даусыз?" (Oratorical Words: What is shameless? What is absent? What is indisputable?)	1626	1723	domestic	essay	none/didactic-oratory	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 1st Q
Төле би (Tole Bi)	"Ердің бақыты – әйел" (Oratorical Words: A man's happiness is a woman)	1663	1756	domestic	essay	none/didactic-oratory	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 1st Q
Әйтеке би (Aiteke Bi)	"Қасқакөл дауы" (Oratorical Words: The Kaskakol Dispute)	1644	1700	domestic	essay	18thc-nomadic?	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 1st Q
Қазыбек би (Kazybek Bi)	"Кім жақын? Не қымбат? Не қиын?" (Oratorical Words: Who is close? What is dear? What is difficult?)	1667	1764	domestic	essay	none/didactic-oratory	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 1st Q
Сырым Датұлы (Syrym Datuly)	"Балаби мен Сырым" (Oratorical Dialogue: Balabi and Syrym)	1712	1802	domestic	essay	none/didactic-oratory	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 1st Q
Bұқар жырау (Bukhar Zhyrau)	"Тілек", "Әй, Абылай, Абылай", "Асқар таудың өлгені" (Poems: Wish; Hey, Ablai, Ablai; The death of the high mountain)	1668	1781	domestic	poem-cycle	18thc-nomadic	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 1st Q
Халық шығармасы (Folk tradition)	Айтыс "Біржан-Сара" (Aytys "Birzhan and Sara")	~1895	~1895	domestic	poem	19thc-tradition	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 1st Q
Нысанбай жырау (Nysanbay Zhyrau)	Дастан "Кенесары - Наурызбай" (Epic poem "Kenesary - Nauryzbay")	1822	1883	domestic	epic	19thc-rebellion	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 2nd Q
Махамбет Өтемісұлы (Makhambet Utemisov)	"Махамбеттің Баймағамбетке айтқаны", "Мен, мен, мен едім", "Бағаналы терек" (Poems: Makhambet's words to Baimagambet; I was, I was, I was; Pillared Poplar)	1804	1846	domestic	poem-cycle	19thc-rebellion	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 2nd Q
Шоқан Уәлиханов (Shoqan Walikhanov)	"Ыстықкөл күнделігі" ("Issyk-Kul Diary")	1835	1865	domestic	essay	tsarist-expansion?	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 2nd Q
Ілияс Жансүгіров (Ilyas Zhansugirov)	Поэма "Құлагер" (Epic poem "Kulager")	1894	1938	domestic	poem	19thc-tradition/social-rivalry	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 3rd Q
Бейімбет Майлин (Beimbet Mailin)	Повесть "Шұғаның белгісі" (Novella "Shuga's Sign")	1894	1938	domestic	novella	none/romance?	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 3rd Q
Ғабит Мүсірепов (Gabit Musirepov)	Роман "Ұлпан" (Novel "Ulpan")	1902	1985	domestic	novel	19thc-tradition	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 3rd Q
Төлеген Айбергенов (Tolegen Aybergenov)	"Сағыныш" (Poem "Sagynysh" / Longing)	1937	1967	domestic	poem	none/romance	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 3rd Q
Фариза Оңғарсынова (Fariza Ongarsynova)	"Өлең, мен сені аялап өтем" (Poem "Poetry, I will cherish you")	1939	2014	domestic	poem	none/meta-poetry	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 3rd Q
Несіпбек Айтов (Nesipbek Aytuly)	Поэма "Бәйтерек" (Poem "Bayterek")	1950	2023	domestic	poem	post-soviet-nationhood	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 4th Q
Қажығали Мұхамбетқалиұлы (Kazhygali Mukhambetkaliyev)	Роман "Тар кезең" (Novel "Tar Kezen" / Crucial Period)	1942	2020	domestic	novel	18thc-rebellion?	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 36 (Kazakh Lit), 4th Q
У. Шекспир (William Shakespeare)	Сонеты (Sonnets)	1564	1616	translated:english	poem-cycle	none/romance	mandatory	excerpt	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 1st Q; poem recitation (9.1.3.1)
П.Н. Васильев (Pavel Vasilyev)	"И имя твоё…" и другие стихотворения ("And your name..." and other poems)	1910	1937	translated:russian	poem-cycle	none/romance	mandatory	excerpt	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 1st Q; poem recitation (9.1.3.1)
А.С. Пушкин (Alexander Pushkin)	Лирика, "Цыганы" (Lyric poetry, poem "The Gypsies")	1799	1837	translated:russian	poem	none/romance	mandatory	excerpt	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 1st Q; poem recitation (9.1.3.1)
И.С. Тургенев (Ivan Turgenev)	"Ася" (Novella "Asya")	1818	1883	translated:russian	novella	none/romance	mandatory	excerpt	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 1st Q; excerpt memorization (9.1.3.1)
А.И. Куприн (Aleksandr Kuprin)	"Олеся" (Novella "Olesya")	1870	1938	translated:russian	novella	none/romance	mandatory	excerpt	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 1st Q; excerpt memorization (9.1.3.1)
Н.В. Гоголь (Nikolai Gogol)	"Шинель" (Short story "The Overcoat")	1809	1852	translated:russian	short-story	19thc-urban-poverty/bureaucracy	mandatory	excerpt	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 2nd Q; excerpt memorization (9.1.3.1)
Ф.М. Достоевский (Fyodor Dostoevsky)	"Бедные люди" (Novel "Poor Folk")	1821	1881	translated:russian	novel	19thc-urban-poverty	mandatory	excerpt	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 2nd Q; excerpt memorization (9.1.3.1)
Л.Н. Толстой (Leo Tolstoy)	"После бала" (Short story "After the Ball")	1828	1910	translated:russian	short-story	tsarist-military-repression	mandatory	excerpt	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 2nd Q; excerpt memorization (9.1.3.1)
А.И. Куприн (Aleksandr Kuprin)	"Гранатовый браслет" (Novella "The Garnet Bracelet")	1870	1938	translated:russian	novella	none/romance	mandatory	excerpt	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 2nd Q; excerpt memorization (9.1.3.1)
А.С. Грибоедов (Alexander Griboyedov)	"Горе от ума" (Play "Woe from Wit")	1795	1829	translated:russian	play	serfdom?	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 3rd Q
Н.В. Гоголь (Nikolai Gogol)	"Мертвые души" (Epic novel "Dead Souls")	1809	1852	translated:russian	novel	serfdom	mandatory	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 3rd Q
А.С. Пушкин (Alexander Pushkin)	"Пиковая дама" (Short story "The Queen of Spades")	1799	1837	translated:russian	short-story	none/gambling-obsession/supernatural	mandatory	excerpt	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 4th Q; excerpt memorization (9.1.3.1)
А.П. Чехов (Anton Chekhov)	"Ионыч", "Человек в футляре" (по выбору учителя) (Short stories: Ionych; The Man in the Case [teacher's choice])	1860	1904	translated:russian	short-story	late-imperial-provincial-stagnation	choice-list	excerpt	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 4th Q; teacher choice; excerpt memorization (9.1.3.1)
Н.С. Лесков (Nikolai Leskov)	"Жемчужное ожерелье" (Short story "The Pearl Necklace")	1831	1895	translated:russian	short-story	none/romance	mandatory	excerpt	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 40 (Russian Lit), 4th Q; excerpt memorization (9.1.3.1)
Халық шығармасы (Folk tradition)	Дастан "Күлтегін" (Monument / Epic poem "Kul Tegin")	~732	~732	domestic	epic	antiquity	choice-list	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 47 (Kazakh Lang & Lit), 1st Q
М. Мақатаев (Mukagali Makatayev)	"Ертең біз жол жүреміз" (Poem "Tomorrow we hit the road")	1931	1976	domestic	poem	none/life-journey/posterity	choice-list	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 47 (Kazakh Lang & Lit), 1st Q
І. Есенберлин (Ilyas Esenberlin)	Роман "Көшпенділер" (үзінді) (Novel "Nomads" [excerpt])	1915	1983	domestic	novel	Kazakh-Khanate/15th-19thc	choice-list	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 47 (Kazakh Lang & Lit), 1st Q
А. Сейтақ (Aibatyr Seitak)	"Азат елдің ар-намысы – Ата Заң" (Poem "The honor of a free country - the Constitution")	1964	living	domestic	poem	post-soviet-nationhood	choice-list	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 47 (Kazakh Lang & Lit), 2nd Q
М. Ыбыраев (Maraltay Ybyrayev)	"Елбасыма" (Poem "To my Elbasy")	1973	living	domestic	poem	post-soviet-nationhood	choice-list	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 47 (Kazakh Lang & Lit), 2nd Q
Қ. Аманжолов (Kasym Amanzholov)	"Жас дәурен" (Poem "Youthful Era")	1911	1955	domestic	poem	none/youth	choice-list	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 47 (Kazakh Lang & Lit), 2nd Q
Н. Назарбаев (Nursultan Nazarbayev)	"Тәуелсіздік толғауы" (Reflection "Reflections on Independence")	1940	living	domestic	essay	post-soviet-nationhood	choice-list	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 47 (Kazakh Lang & Lit), 3rd Q
Ж. Сахиев (Zhunis Sakhiyev)	"Уақыт қайтарымы" (Short story "Return of Time")	1950	living	domestic	short-story	modernity	choice-list	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 47 (Kazakh Lang & Lit), 3rd Q
А. Азимов (Isaac Asimov)	"Я, робот" ("I, Robot")	1920	1992	translated:english	short-story	modernity	choice-list	no	9	https://adilet.zan.kz/rus/docs/V2200029767	2023	2026-08-10	App 47 (Kazakh Lang & Lit), 4th Q
