author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Монгол ардын аман зохиол (Mongolian oral tradition)	"Гэсэр" ("Gesar")	traditional	traditional	domestic	epic	none/folklore	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; Grade IX MoE-approved textbook, pp. 6-17
Монгол ардын аман зохиол (Mongolian oral tradition)	"Жангар" ("Jangar")	traditional	traditional	domestic	epic	none/legendary-steppe-utopia	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; textbook dates the epic's origin to the mid-15th century (p. 18)
Нэргүй (Anonymous)	"Чингисийн эр хоёр загалын тууж" ("The Tale of Chinggis's Two Bay Geldings")	traditional	traditional	domestic	epic	13th-c-mongol-empire?	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; textbook dates composition to the 13th-14th centuries (p. 35)
Гилүгэдэй баатар (Gilegüdei Baatar)	"Сөнидийн Гилүгэдэй баатрын харууслын шүлэг" ("Lament of Gilegüdei, Hero of the Sönid")	unknown	unknown	domestic	poem	1227-chinggis-death	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; text identifies its mourning as for Chinggis Khan (pp. 40-42)
Мандухай сэцэн хатан (Mandukhai Sain Khatun)	"Мандухай сэцэн хатны тангаргийн шүлэг" ("Oath Poem of Mandukhai Sain Khatun")	1448	1510	domestic	poem	15th-c-mongol-reunification	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; textbook frames the oral legend around reunification after 1467 (pp. 44-46)
Цогт тайж (Tsogt Taij)	"Цогт тайжийн хадны бичиг" ("Tsogt Taij's Rock Inscription")	1581	1637	domestic	poem	17th-c-buddhist-kinship?	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; dated 1621 in the textbook (pp. 48-50)
Бавуугийн Лхагвасүрэн (Bavuugiin Lkhagvasuren)	"Боржигины бор тал" ("The Brown Steppe of the Borjigin")	1944	2019	domestic	poem	none/homeland	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; poem unit pp. 56-64
Данзангийн Нямсүрэн (Danzangiin Nyamsuren)	"Дөрвөн цаг" ("Four Seasons")	1949	2002	domestic	poem	none/nature	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; poem unit pp. 65-74
Бямбын Ринчен (Byambyn Rinchen)	"Нууцыг задруулсан захиа" ("The Letter That Revealed the Secret")	1905	1977	domestic	novella	17th-c-qing-conquest	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; text locates the story in the 17th-century Manchu conquest (pp. 76-87)
Жагдалын Лхагва (Jagdaliin Lkhagva)	"Эвэр" ("Horns")	1942	1998	domestic	short-story	none/allegory	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; short-story unit pp. 88-93
Дэмбээгийн Мягмар (Dembeegiin Myagmar)	"Үер" ("Flood")	1933	1997	domestic	novella	none/nature-humanity	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; novella excerpt dated 1966 in textbook (pp. 94-101)
Дожоогийн Цэдэв (Dojoojiin Tsedev)	"Улаан хамбан зодогт буюу тавын даваа" ("The Red Silk Wrestler's Jacket, or the Fifth Round")	1939	living	domestic	novella	socialist-mongolia?	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; novella excerpt dated 1976 in textbook (pp. 102-111)
Чадраабалын Лодойдамба (Chadraabaliin Lodoidamba)	"Алтайд" ("In the Altai")	1917	1970	domestic	novel	socialist-modernization?	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; excerpt from short novel pp. 112-128
Шри Галидас (Shri Galidas / Kalidasa)	"Шакундалааг таних тэмдэг" ("The Recognition of Shakuntala")	~400	~500	translated:sanskrit	play	antiquity	anthology-only	no	9	https://fliphtml5.com/itcvz/dwoy/09_uran_zohiol/	2023	2026-08-11	Contents p. 3; Indian play excerpt pp. 130-145
