author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Неизвестный автор (Unknown author)	«Слово о полку Игореве» ("The Lay of Igor's Campaign")	~1185	~1185	domestic	epic	12th-c-Rus-polovtsy-war	mandatory	no	9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
М.В. Ломоносов (M.V. Lomonosov)	Стихотворения (в том числе «Ода на день восшествия на Всероссийский престол Её Величества государыни Императрицы Елисаветы Петровны, 1747 года») (Poems (including "Ode on the Accession Day of Empress Elizabeth Petrovna, 1747"))	1711	1765	domestic	poem-cycle	18th-c-autocracy	mandatory	no	9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
Д.И. Фонвизин (D.I. Fonvizin)	Комедия «Недоросль» (Comedy "The Minor")	1745	1792	domestic	play	serfdom	mandatory	no	8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
Г.Р. Державин (G.R. Derzhavin)	Стихотворения (Poems)	1743	1816	domestic	poem-cycle	various/unspecified	mandatory	no	9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
Н.М. Карамзин (N.M. Karamzin)	Повесть «Бедная Лиза» (Novella "Poor Liza")	1766	1826	domestic	novella	none/tragic-romance-and-estate-inequality	mandatory	no	9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
И.А. Крылов (I.A. Krylov)	Басни (Fables)	1769	1844	domestic	poem-cycle	none/moral-and-social-satire	mandatory	no	6	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
В.А. Жуковский (V.A. Zhukovsky)	Стихотворения. Баллады (Poems. Ballads)	1783	1852	domestic	poem-cycle	various/unspecified	mandatory	no	9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
А.С. Грибоедов (A.S. Griboyedov)	Комедия «Горе от ума» (Comedy "Woe from Wit")	1795	1829	domestic	play	decembrist-era	mandatory	no	9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
А.С. Пушкин (A.S. Pushkin)	Стихотворения (Poems)	1799	1837	domestic	poem-cycle	various/unspecified	mandatory	no	5-9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
А.С. Пушкин (A.S. Pushkin)	Роман в стихах «Евгений Онегин» (Novel in verse "Eugene Onegin")	1799	1837	domestic	novel	1820s-gentry-life	mandatory	no	9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
А.С. Пушкин (A.S. Pushkin)	«Повести Белкина» («Станционный смотритель») ("The Tales of Belkin" ("The Stationmaster"))	1799	1837	domestic	short-story	social-inequality	mandatory	no	7	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
А.С. Пушкин (A.S. Pushkin)	Поэма «Медный всадник» (Poem "The Bronze Horseman")	1799	1837	domestic	poem	1824-petersburg-flood	mandatory	no	9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
А.С. Пушкин (A.S. Pushkin)	Роман «Капитанская дочка» (Novel "The Captain's Daughter")	1799	1837	domestic	novel	pugachev-rebellion	mandatory	no	8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
М.Ю. Лермонтов (M.Yu. Lermontov)	Стихотворения (Poems)	1814	1841	domestic	poem-cycle	various/unspecified	mandatory	no	5-9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
М.Ю. Лермонтов (M.Yu. Lermontov)	Поэма «Песня про царя Ивана Васильевича, молодого опричника и удалого купца Калашникова» (Poem "Song About Tsar Ivan Vasilyevich, the Young Oprichnik, and the Valiant Merchant Kalashnikov")	1814	1841	domestic	poem	oprichnina-ivan-the-terrible	mandatory	no	7	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
М.Ю. Лермонтов (M.Yu. Lermontov)	Поэма «Мцыри» (Poem "The Novice")	1814	1841	domestic	poem	caucasus-conquest	mandatory	no	8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
М.Ю. Лермонтов (M.Yu. Lermontov)	Роман «Герой нашего времени» (Novel "A Hero of Our Time")	1814	1841	domestic	novel	caucasus-war	mandatory	no	9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
Н.В. Гоголь (N.V. Gogol)	Комедия «Ревизор» (Comedy "The Government Inspector")	1809	1852	domestic	play	nicholadan-autocracy-corruption	mandatory	no	8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
Н.В. Гоголь (N.V. Gogol)	Повесть «Шинель» (Novella "The Overcoat")	1809	1852	domestic	novella	nicholadan-bureaucracy	mandatory	no	8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
Н.В. Гоголь (N.V. Gogol)	Поэма «Мёртвые души» (Epic poem "Dead Souls")	1809	1852	domestic	epic	serfdom	mandatory	no	9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
Е.А. Баратынский, К.Н. Батюшков, А.А. Дельвиг, Н.М. Языков (E.A. Baratynsky, K.N. Batyushkov, A.A. Delvig, N.M. Yazykov)	Поэзия пушкинской эпохи: Е.А. Баратынский, К.Н. Батюшков, А.А. Дельвиг, Н.М. Языков (Poetry of the Pushkin era: E.A. Baratynsky, K.N. Batyushkov, A.A. Delvig, N.M. Yazykov)	~1787	~1855	domestic	poem-cycle	various/unspecified	mandatory	no	9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
И.С. Тургенев (I.S. Turgenev)	Одно произведение (повесть или рассказ) по выбору (One work (novella or short story) by choice)	1818	1883	domestic	novella	various/unspecified	choice-list	no	5-8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
Н.С. Лесков (N.S. Leskov)	Одно произведение (повесть или рассказ) по выбору (One work (novella or short story) by choice)	1831	1895	domestic	novella	various/unspecified	choice-list	no	6	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
Ф.И. Тютчев (F.I. Tyutchev)	Стихотворения (Poems)	1803	1873	domestic	poem-cycle	various/unspecified	mandatory	no	5-7	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
А.А. Фет (A.A. Fet)	Стихотворения (Poems)	1820	1892	domestic	poem-cycle	various/unspecified	mandatory	no	5-7	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
Н.А. Некрасов (N.A. Nekrasov)	Стихотворения (Poems)	1821	1878	domestic	poem-cycle	various/unspecified	mandatory	no	5, 7	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
М.Е. Салтыков-Щедрин (M.E. Saltykov-Shchedrin)	Сказки: «Повесть о том, как один мужик двух генералов прокормил», «Дикий помещик», «Премудрый пискарь» (Fairy tales: "How One Peasant Fed Two Generals", "The Wild Landowner", "The Wise Minnow")	1826	1889	domestic	short-story	19th-c-autocracy-and-class-exploitation	mandatory	no	7	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
Ф.М. Достоевский (F.M. Dostoevsky)	Одно произведение (повесть или рассказ) по выбору (One work (novella or short story) by choice)	1821	1881	domestic	novella	various/unspecified	choice-list	no	8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
Л.Н. Толстой (L.N. Tolstoy)	Рассказ «После бала» и одно произведение (повесть или рассказ) по выбору (Short story "After the Ball" and one work (novella or short story) by choice)	1828	1910	domestic	short-story	nicholadan-army-brutality	mandatory	no	5-8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
А.П. Чехов (A.P. Chekhov)	Рассказы: «Лошадиная фамилия», «Мальчики», «Хирургия», «Смерть чиновника», «Хамелеон», «Тоска», «Толстый и тонкий», «Злоумышленник» и др. (Short stories: "A Horsey Name", "Boys", "Surgery", "Death of a Government Clerk", "Chameleon", "Misery", "Fat and Thin", "The Malefactor", et al.)	1860	1904	domestic	short-story	late-tsarist-stagnation	mandatory	no	5-7	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
А.К. Толстой (A.K. Tolstoy)	Стихотворения (Poems)	1817	1875	domestic	poem-cycle	various/unspecified	mandatory	no	5, 7	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
И.А. Бунин (I.A. Bunin)	Стихотворения (Poems)	1870	1953	domestic	poem-cycle	various/unspecified	mandatory	no	5	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
А.А. Блок (A.A. Blok)	Стихотворения (Poems)	1880	1921	domestic	poem-cycle	various/unspecified	mandatory	no	5-7	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
В.В. Маяковский (V.V. Mayakovsky)	Стихотворения (Poems)	1893	1930	domestic	poem-cycle	various/unspecified	mandatory	no	6-8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
С.А. Есенин (S.A. Yesenin)	Стихотворения (Poems)	1895	1925	domestic	poem-cycle	various/unspecified	mandatory	no	5, 6	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
Н.С. Гумилёв (N.S. Gumilyov)	Стихотворения (Poems)	1886	1921	domestic	poem-cycle	various/unspecified	mandatory	no	7	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
М.И. Цветаева (M.I. Tsvetaeva)	Стихотворения (Poems)	1892	1941	domestic	poem-cycle	various/unspecified	mandatory	no	7, 8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
О.Э. Мандельштам (O.E. Mandelstam)	Стихотворения (Poems)	1891	1938	domestic	poem-cycle	various/unspecified	mandatory	no	8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
Б.Л. Пастернак (B.L. Pasternak)	Стихотворения (Poems)	1890	1960	domestic	poem-cycle	various/unspecified	mandatory	no	8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
А.И. Куприн (A.I. Kuprin)	Одно произведение по выбору (One work by choice)	1870	1938	domestic	novella	various/unspecified	choice-list	no	6	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
М.А. Шолохов (M.A. Sholokhov)	Рассказ «Судьба человека» (Short story "The Fate of a Man")	1905	1984	domestic	short-story	WWII-great-patriotic-war	mandatory	no	8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
А.Т. Твардовский (A.T. Tvardovsky)	Поэма «Василий Тёркин» (главы «Переправа», «Гармонь», «Два солдата», «Поединок» и другие) (Poem "Vasili Tyorkin" (chapters "Crossing", "Accordion", "Two Soldiers", "Duel", and others))	1910	1971	domestic	poem	WWII-great-patriotic-war	mandatory	no	8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
В.М. Шукшин (V.M. Shukshin)	Рассказы: «Чудик», «Стенька Разин», «Критики» и др. (Short stories: "Oddball", "Stenka Razin", "Critics", et al.)	1929	1974	domestic	short-story	post-war-soviet-village	mandatory	no	7, 8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
А.И. Солженицын (A.I. Solzhenitsyn)	Рассказ «Матрёнин двор» (Short story "Matryona's Place")	1918	2008	domestic	short-story	post-stalin-soviet-peasantry	mandatory	no	8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
Ф.А. Абрамов, А.Т. Аверченко, Ч.Т. Айтматов, В.П. Астафьев, В.И. Белов, Ю.В. Бондарев, М.А. Булгаков, Б.Л. Васильев, М. Горький, А.С. Грин, Б.П. Екимов, М.М. Зощенко, Ф.А. Искандер, Ю.П. Казаков, В.В. Набоков, Е.И. Носов, М.А. Осоргин, А.П. Платонов, В.Г. Распутин, А.Н. и Б.Н. Стругацкие, В.Ф. Тендряков, Н. Тэффи, И.С. Шмелёв и др. (F.A. Abramov, A.T. Averchenko, Ch.T. Aitmatov, V.P. Astafyev, V.I. Belov, Yu.V. Bondarev, M.A. Bulgakov, B.L. Vasilyev, M. Gorky, A.S. Grin, B.P. Yekimov, M.M. Zoshchenko, F.A. Iskander, Yu.P. Kazakov, V.V. Nabokov, Ye.I. Nosov, M.A. Osorgin, A.P. Platonov, V.G. Rasputin, A.N. and B.N. Strugatsky, V.F. Tendryakov, N. Teffi, I.S. Shmelyov, et al.)	Авторы прозаических произведений (эпос, драма) конца XIX – ХХI в. (Authors of prose works (epic, drama) of the late 19th–21st centuries)	~1868	living	domestic, doc-marked	short-story	various/unspecified	choice-list	no	5-8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	
Б.А. Ахмадулина, А.А. Ахматова, О.Ф. Берггольц, И.А. Бродский, А.А. Вознесенский, В.С. Высоцкий, Е.А. Евтушенко, Н.А. Заболоцкий, М.В. Исаковский, Ю.П. Кузнецов, А.С. Кушнер, Ю.Д. Левитанский, Ю.П. Мориц, Б.Ш. Окуджава, Р.И. Рождественский, Н.М. Рубцов, Д.С. Самойлов, М.А. Светлов, К.М. Симонов и др. (B.A. Akhmadulina, A.A. Akhmatova, O.F. Berggolts, I.A. Brodsky, A.A. Voznesensky, V.S. Vysotsky, Ye.A. Yevtushenko, N.A. Zabolotsky, M.V. Isakovsky, Yu.P. Kuznetsov, A.S. Kushner, Yu.D. Levitansky, Yu.P. Morits, B.Sh. Okudzhava, R.I. Rozhdestvensky, N.M. Rubtsov, D.S. Samoylov, M.A. Svetlov, K.M. Simonov, et al.)	Авторы стихотворных произведений (лирика, лироэпос) конца XIX – ХХI в. (Authors of poetic works (lyric, lyro-epic) of the late 19th–21st centuries)	~1889	living	domestic, doc-marked	poem-cycle	various/unspecified	choice-list	no	5-8	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
Р.Г. Гамзатов, М. Карим, Г. Тукай, К. Кулиев и др. (R.G. Gamzatov, M. Karim, G. Tukay, K. Kuliev, et al.)	Литература народов Российской Федерации: Авторы стихотворных произведений (лирика) (Literature of the peoples of the Russian Federation: Authors of poetic works (lyrics))	~1886	~2005	domestic, doc-marked	poem-cycle	various/unspecified	choice-list	no	5-6	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Table 2 item 8 (>=12 works/fragments read expressively, including by heart)
Гомер, М. Сервантес, У. Шекспир, Ж.-Б. Мольер и др. (Homer, M. Cervantes, W. Shakespeare, J.-B. Molière, et al.)	Произведения зарубежной литературы: по выбору (в том числе Гомера, М. Сервантеса, У. Шекспира, Ж.-Б. Мольера и др.) (Works of foreign literature: by choice (including Homer, M. Cervantes, W. Shakespeare, J.-B. Molière, et al.))	~800 BCE	~1673	translated:multiple, doc-marked	epic	various/unspecified	choice-list	no	5-9	https://doc.fipi.ru/oge/demoversii-specifikacii-kodifikatory/2025/li_9_2025.zip	2025	2026-08-10	Doc-marked under section "Произведения зарубежной литературы"
