author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Разные народы (Various peoples)	Мифы народов России и мира ("Myths of the Peoples of Russia and the World")	traditional	traditional	translated:various	epic	none/mythology	choice-list	no	5	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 5, Mythology; foreign component of the printed Russia-and-world formula; no named-text memorization instruction.
Народы России и мира (Peoples of Russia and the world)	Сказки народов России и народов мира (не менее трёх) ("Fairy Tales of the Peoples of Russia and the Peoples of the World" (at least three))	traditional	traditional	translated:various	short-story	none/folklore	choice-list	no	5	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 5, Folklore; foreign component of the printed Russia-and-world selection formula; no named-text memorization instruction.
Х.К. Андерсен (H.C. Andersen)	Сказки (одна по выбору). Например, «Снежная королева», «Соловей» и другие ("Fairy Tales" (one by choice), e.g. "The Snow Queen", "The Nightingale", and others)	1805	1875	translated:danish	short-story	none/fairy-tale	choice-list	no	5	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 5, Foreign Literature; printed bundled work-group; thematic plan §7.1 has no memorization instruction.
Л. Кэрролл; Дж.Р.Р. Толкин (L. Carroll; J.R.R. Tolkien)	Зарубежная сказочная проза (одно произведение по выбору). Например, Л. Кэрролл. «Алиса в Стране Чудес» (главы по выбору); Дж.Р.Р. Толкин. «Хоббит, или Туда и обратно» (главы по выбору) и другие ("Foreign Fairy-Tale Prose" (one work by choice), e.g. Carroll's "Alice's Adventures in Wonderland" and Tolkien's "The Hobbit, or There and Back Again" (chapters by choice), and others)	1832/1892	1898/1973	translated:english	novel	various/imaginary-worlds	choice-list	no	5	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 5, Foreign Literature; printed open choice formula with examples; thematic plan §7.2 has no memorization instruction.
М. Твен; Дж. Лондон; Р. Брэдбери (M. Twain; J. London; R. Bradbury)	Зарубежная проза о детях и подростках (два произведения по выбору). Например, М. Твен. «Приключения Тома Сойера» (главы по выбору); Дж. Лондон. «Сказание о Кише»; Р. Брэдбери. Рассказы. Например, «Каникулы», «Звук бегущих ног», «Зелёное утро» и другие ("Foreign Prose about Children and Adolescents" (two works by choice), with the printed Twain, London, and Bradbury examples)	1835/1876/1920	1910/1916/2012	translated:english	novel	various/childhood-and-adolescence	choice-list	no	5	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 5, Foreign Literature; printed open choice formula and examples; thematic plan §7.3 has no memorization instruction.
Р.Л. Стивенсон (R.L. Stevenson)	Зарубежная приключенческая проза (два произведения по выбору). Например, Р.Л. Стивенсон. «Остров сокровищ», «Чёрная стрела» и другие ("Foreign Adventure Prose" (two works by choice), e.g. "Treasure Island", "The Black Arrow", and others)	1850	1894	translated:english	novel	18th/15th-c-britain-adventure?	choice-list	no	5	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 5, Foreign Literature; printed bundled choice group; thematic plan §7.4 has no memorization instruction.
Э. Сетон-Томпсон; Дж. Даррелл; Дж. Лондон; Дж. Р. Киплинг (E. Seton-Thompson; G. Durrell; J. London; R. Kipling)	Зарубежная проза о животных (одно-два произведения по выбору). Э. Сетон-Томпсон. «Королевская аналостанка»; Дж. Даррелл. «Говорящий свёрток»; Дж. Лондон. «Белый клык»; Дж. Р. Киплинг. «Маугли», «Рикки-Тикки-Тави» и другие ("Foreign Animal Prose" (one or two works by choice), with the printed "The Royal Analostan", "The Talking Parcel", "White Fang", "Mowgli", and "Rikki-Tikki-Tavi" examples)	1860/1925/1876/1865	1946/1995/1916/1936	translated:english	short-story	various/human-animal-relations	choice-list	no	5	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 5, Foreign Literature; printed open choice formula and examples; thematic plan §7.5 has no memorization instruction.
Гомер (Homer)	Поэмы. «Илиада», «Одиссея» (фрагменты) ("Poems: The Iliad, The Odyssey" (fragments))	~8th c. BCE	~8th c. BCE	translated:ancient-greek	epic	antiquity-trojan-war-and-aftermath	mandatory	no	6	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 6, Ancient Literature; foreign work outside the Foreign Literature section; thematic plan §1.1 has no named-text memorization instruction.
Народы России и мира (Peoples of Russia and the world)	Народные песни и поэмы народов России и мира (не менее трех песен и двух поэм). Например, «Песнь о Роланде» (фрагменты), «Песнь о Нибелунгах» (фрагменты) ("Folk Songs and Poems of the Peoples of Russia and the World" (at least three songs and two poems), e.g. "The Song of Roland" and "The Nibelungenlied" (fragments))	traditional	traditional	translated:various	epic	medieval-europe/legendary-war	choice-list	no	6	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 6, Folklore; foreign component and named foreign examples outside the Foreign Literature section; no named-text memorization instruction.
Д. Дефо (D. Defoe)	«Робинзон Крузо» (главы по выбору) ("Robinson Crusoe" (chapters by choice))	~1660	1731	translated:english	novel	17th-c-colonialism-and-survival?	mandatory	no	6	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 6, Foreign Literature; the work is fixed and only its chapters are selected; thematic plan §7.1 has no memorization instruction.
Дж. Свифт (J. Swift)	«Путешествия Гулливера» (главы по выбору) ("Gulliver's Travels" (chapters by choice))	1667	1745	translated:english	novel	18th-c-imperial-and-political-satire?	mandatory	no	6	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 6, Foreign Literature; the work is fixed and only its chapters are selected; thematic plan §7.2 has no memorization instruction.
Ж. Верн; Х. Ли (J. Verne; H. Lee)	Произведения зарубежных писателей на тему взросления человека (не менее двух). Например, Ж. Верн. «Дети капитана Гранта» (главы по выбору); Х. Ли. «Убить пересмешника» (главы по выбору) и другие ("Works by Foreign Writers on Growing Up" (at least two), e.g. "In Search of the Castaways" and "To Kill a Mockingbird" (chapters by choice), and others)	1828/1926	1905/2016	translated:various	novel	various/coming-of-age	choice-list	no	6	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 6, Foreign Literature; printed open choice formula and examples; thematic plan §7.3 has no memorization instruction.
Р. Сабатини; Ф. Купер (R. Sabatini; F. Cooper)	Произведения отечественных и зарубежных писателей на историческую тему (не менее двух). Например, А.К. Толстого, Р. Сабатини, Ф. Купера ("Works by Domestic and Foreign Writers on a Historical Theme" (at least two), e.g. A.K. Tolstoy, R. Sabatini, F. Cooper)	1875/1789	1950/1851	translated:english	novel	various/historical-fiction	choice-list	no	7	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 7, second half of the 19th century; foreign component of a printed mixed open formula outside Foreign Literature; no named work is fixed or assigned for memorization.
О. Генри; Я. Гашек (O. Henry; J. Hašek)	Сатирические произведения отечественных и зарубежных писателей (не менее двух). Например, М.М. Зощенко, А.Т. Аверченко, Н. Тэффи, О. Генри, Я. Гашека ("Satirical Works by Domestic and Foreign Writers" (at least two), with the printed Zoshchenko, Averchenko, Teffi, O. Henry, and Hašek examples)	1862/1883	1910/1923	translated:various	short-story	various/social-and-political-satire	choice-list	no	7	https://edsoo.ru/wp-content/uploads/2024/06/frp_literatura_5_9_04062024.pdf	2024	2026-08-11	Content overview, Grade 7, late 19th to early 20th century; foreign component of a printed mixed open formula outside Foreign Literature; no named work is fixed or assigned for memorization.
