author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Khuyết danh / Thời Lý (Anonymous - Ly Dynasty)	"""Nam quốc sơn hà"" (""Rivers and Mountains of the Southern Country"")"	~1077	~1077	domestic	poem	song-dynasty-war	mandatory	no	8-9	https://thleductho.hcm.edu.vn/van-ban/chuong-trinh-giao-duc-pho-thong-mon-ngu-van-ban-hanh-kem-theo-thong-tu-322018tt/vbctmb/72434/406282	2018	2026-08-11	Circular 32/2018 Statutory Compulsory Work (Tác phẩm bắt buộc)
Trần Quốc Tuấn	"""Hịch tướng sĩ"" (""Call to Officers and Soldiers"")"	1228	1300	domestic	essay	mongol-invasions	mandatory	no	8-9	https://thleductho.hcm.edu.vn/van-ban/chuong-trinh-giao-duc-pho-thong-mon-ngu-van-ban-hanh-kem-theo-thong-tu-322018tt/vbctmb/72434/406282	2018	2026-08-11	Circular 32/2018 Statutory Compulsory Work (Tác phẩm bắt buộc)
Nguyễn Trãi	"""Bình Ngô đại cáo"" (""Great Proclamation upon the Pacification of the Wu"")"	1380	1442	domestic	essay	ming-occupation-liberation	mandatory	no	8-9	https://thleductho.hcm.edu.vn/van-ban/chuong-trinh-giao-duc-pho-thong-mon-ngu-van-ban-hanh-kem-theo-thong-tu-322018tt/vbctmb/72434/406282	2018	2026-08-11	Circular 32/2018 Statutory Compulsory Work (Tác phẩm bắt buộc)
Nguyễn Du	"""Truyện Kiều"" (""The Tale of Kieu"")"	1766	1820	domestic	poem-cycle	early-modern-ming-china/trafficking-and-feudal-patriarchy	mandatory	no	8-9	https://thleductho.hcm.edu.vn/van-ban/chuong-trinh-giao-duc-pho-thong-mon-ngu-van-ban-hanh-kem-theo-thong-tu-322018tt/vbctmb/72434/406282	2018	2026-08-11	Circular 32/2018 Statutory Compulsory Work (Tác phẩm bắt buộc)
Nguyễn Đình Chiểu	"""Văn tế nghĩa sĩ Cần Giuộc"" (""Funeral Oration for the Partisans of Can Giuoc"")"	1822	1888	domestic	essay	anti-french-resistance	mandatory	no	10-12	https://thleductho.hcm.edu.vn/van-ban/chuong-trinh-giao-duc-pho-thong-mon-ngu-van-ban-hanh-kem-theo-thong-tu-322018tt/vbctmb/72434/406282	2018	2026-08-11	Circular 32/2018 Statutory Compulsory Work (Tác phẩm bắt buộc)
Hồ Chí Minh	"""Tuyên ngôn Độc lập"" (""Declaration of Independence"")"	1890	1969	domestic	essay	WWII-decolonization	mandatory	no	10-12	https://thleductho.hcm.edu.vn/van-ban/chuong-trinh-giao-duc-pho-thong-mon-ngu-van-ban-hanh-kem-theo-thong-tu-322018tt/vbctmb/72434/406282	2018	2026-08-11	Circular 32/2018 Statutory Compulsory Work (Tác phẩm bắt buộc)
Truyện dân gian Việt Nam (Vietnamese Folk Tales)	"""Truyền thuyết, cổ tích, ngụ ngôn, truyện cười (bằng lựa chọn, ít nhất 4 tác phẩm)"" (""Legends, Fairy Tales, Fables, Humorous Tales (by choice, min 4 works)"")"	traditional	traditional	domestic	short-story	none/folklore	choice-list	no	6-9	https://thleductho.hcm.edu.vn/van-ban/chuong-trinh-giao-duc-pho-thong-mon-ngu-van-ban-hanh-kem-theo-thong-tu-322018tt/vbctmb/72434/406282	2018	2026-08-11	Circular 32/2018 Statutory Mandatory Selection Category (Tác phẩm bắt buộc lựa chọn)
Ca dao Việt Nam (Vietnamese Folk Songs)	"""Ca dao về quê hương đất nước, tình yêu, gia đình, xã hội (bằng lựa chọn, ít nhất 3 bài)"" (""Folk Songs on Country, Love, Family, Society (by choice, min 3 poems)"")"	traditional	traditional	domestic	poem-cycle	none/folklore	choice-list	no	6-9	https://thleductho.hcm.edu.vn/van-ban/chuong-trinh-giao-duc-pho-thong-mon-ngu-van-ban-hanh-kem-theo-thong-tu-322018tt/vbctmb/72434/406282	2018	2026-08-11	Circular 32/2018 Statutory Mandatory Selection Category (Tác phẩm bắt buộc lựa chọn)
Tác giả dân gian Việt Nam (Vietnamese Folk Authors)	"""Sử thi Việt Nam (bằng lựa chọn, ít nhất 1 tác phẩm)"" (""Vietnamese Epic (by choice, min 1 work)"")"	traditional	traditional	domestic	epic	none/folklore	choice-list	no	10-12	https://thleductho.hcm.edu.vn/van-ban/chuong-trinh-giao-duc-pho-thong-mon-ngu-van-ban-hanh-kem-theo-thong-tu-322018tt/vbctmb/72434/406282	2018	2026-08-11	Circular 32/2018 Statutory Mandatory Selection Category (Tác phẩm bắt buộc lựa chọn)
Tác giả dân gian Việt Nam (Vietnamese Folk Authors)	"""Truyện thơ dân tộc thiểu số Việt Nam (bằng lựa chọn, ít nhất 1 tác phẩm)"" (""Ethnic Minority Verse Narrative of Vietnam (by choice, min 1 work)"")"	traditional	traditional	domestic	poem-cycle	none/folklore	choice-list	no	10-12	https://thleductho.hcm.edu.vn/van-ban/chuong-trinh-giao-duc-pho-thong-mon-ngu-van-ban-hanh-kem-theo-thong-tu-322018tt/vbctmb/72434/406282	2018	2026-08-11	Circular 32/2018 Statutory Mandatory Selection Category (Tác phẩm bắt buộc lựa chọn)
